Frequency (MHz),Amplitude
0.000000000000000000e+00,0.000000000000000000e+00
8.326394671107411813e-03,8.660254037844385966e-01
1.665278934221482363e-02,8.660254037844387076e-01
2.497918401332223717e-02,5.665538897647979615e-16
3.330557868442964725e-02,-8.660254037844383745e-01
4.163197335553705386e-02,-8.660254037844385966e-01
4.995836802664447435e-02,-1.133107779529595923e-15
5.828476269775188096e-02,8.660254037844379305e-01
6.661115736885929450e-02,8.660254037844391517e-01
7.493755203996670111e-02,3.673940397442059375e-16
8.326394671107410772e-02,-8.660254037844387076e-01
9.159034138218151433e-02,-8.660254037844391517e-01
9.991673605328894869e-02,-2.266215559059191846e-15
1.082431307243963553e-01,8.660254037844378194e-01
1.165695253955037619e-01,8.660254037844401509e-01
1.248959200666111685e-01,6.123233995736766282e-16
1.332223147377185890e-01,-8.660254037844377084e-01
1.415487094088259956e-01,-8.660254037844401509e-01
1.498751040799334022e-01,-7.347880794884118750e-16
1.582014987510408088e-01,8.660254037844377084e-01
1.665278934221482154e-01,8.660254037844384856e-01
1.748542880932556220e-01,4.409966438203648544e-15
1.831806827643630287e-01,-8.660254037844375974e-01
1.915070774354704353e-01,-8.660254037844402619e-01
1.998334721065778974e-01,-4.532431118118383692e-15
2.081598667776853040e-01,8.660254037844375974e-01
2.164862614487927106e-01,8.660254037844403729e-01
2.248126561199001172e-01,1.102182119232617911e-15
2.331390507910075238e-01,-8.660254037844357100e-01
2.414654454621149304e-01,-8.660254037844403729e-01
2.497918401332223370e-01,-1.224646799147353256e-15
2.581182348043297714e-01,8.660254037844373753e-01
2.664446294754371780e-01,8.660254037844404840e-01
2.747710241465445846e-01,4.899825157862589137e-15
2.830974188176519912e-01,-8.660254037844355990e-01
2.914238134887593978e-01,-8.660254037844423713e-01
2.997502081598668044e-01,-1.469576158976823750e-15
3.080766028309742111e-01,8.660254037844372643e-01
3.164029975020816177e-01,8.660254037844405950e-01
3.247293921731890243e-01,5.144754517692060222e-15
3.330557868442964309e-01,-8.660254037844390407e-01
3.413821815154038375e-01,-8.660254037844424824e-01
3.497085761865112441e-01,-8.819932876407297088e-15
3.580349708576186507e-01,8.660254037844371533e-01
3.663613655287260573e-01,8.660254037844407060e-01
3.746877601998334639e-01,1.249511123512253317e-14
3.830141548709408705e-01,-8.660254037844353769e-01
3.913405495420483327e-01,-8.660254037844425934e-01
3.996669442131557948e-01,-9.064862236236767385e-15
4.079933388842632014e-01,8.660254037844370423e-01
4.163197335553706080e-01,8.660254037844408170e-01
4.246461282264780146e-01,-1.470814120250000453e-15
4.329725228975854212e-01,-8.660254037844352659e-01
4.412989175686928278e-01,-8.660254037844427044e-01
4.496253122398002344e-01,-2.204364238465235822e-15
4.579517069109076410e-01,8.660254037844369313e-01
4.662781015820150476e-01,8.660254037844444808e-01
