Time (s),Amplitude
0.000000000000000000e+00,0.000000000000000000e+00
9.090909090909090606e-01,8.660254037844385966e-01
1.818181818181818121e+00,8.660254037844387076e-01
2.727272727272727071e+00,1.224646799147353207e-16
3.636363636363636243e+00,-8.660254037844383745e-01
4.545454545454545858e+00,-8.660254037844385966e-01
5.454545454545454142e+00,-2.449293598294706414e-16
6.363636363636363313e+00,8.660254037844383745e-01
7.272727272727272485e+00,8.660254037844391517e-01
8.181818181818181657e+00,3.673940397442059375e-16
9.090909090909091717e+00,-8.660254037844387076e-01
1.000000000000000000e+01,-8.660254037844391517e-01
1.090909090909090828e+01,-4.898587196589412829e-16
1.181818181818181657e+01,8.660254037844378194e-01
1.272727272727272663e+01,8.660254037844392627e-01
1.363636363636363491e+01,2.388680238973926994e-15
1.454545454545454497e+01,-8.660254037844377084e-01
1.545454545454545503e+01,-8.660254037844383745e-01
1.636363636363636331e+01,-7.347880794884118750e-16
1.727272727272726982e+01,8.660254037844377084e-01
1.818181818181818343e+01,8.660254037844384856e-01
1.909090909090908994e+01,8.572527594031472204e-16
2.000000000000000000e+01,-8.660254037844375974e-01
2.090909090909090651e+01,-8.660254037844402619e-01
2.181818181818181657e+01,-9.797174393178825657e-16
2.272727272727272663e+01,8.660254037844375974e-01
2.363636363636363313e+01,8.660254037844403729e-01
2.454545454545454675e+01,1.102182119232617911e-15
2.545454545454545325e+01,-8.660254037844374864e-01
2.636363636363636331e+01,-8.660254037844403729e-01
2.727272727272726982e+01,-4.777360477947853989e-15
2.818181818181817988e+01,8.660254037844373753e-01
2.909090909090908994e+01,8.660254037844404840e-01
2.999999999999999645e+01,4.899825157862589137e-15
3.090909090909091006e+01,-8.660254037844391517e-01
3.181818181818181301e+01,-8.660254037844423713e-01
3.272727272727272663e+01,-1.469576158976823750e-15
3.363636363636363313e+01,8.660254037844372643e-01
3.454545454545453964e+01,8.660254037844405950e-01
3.545454545454545325e+01,5.144754517692060222e-15
3.636363636363636687e+01,-8.660254037844390407e-01
3.727272727272726627e+01,-8.660254037844424824e-01
3.818181818181817988e+01,-1.714505518806294441e-15
3.909090909090909349e+01,8.660254037844371533e-01
4.000000000000000000e+01,8.660254037844407060e-01
4.090909090909090651e+01,5.389683877521530518e-15
4.181818181818181301e+01,-8.660254037844353769e-01
4.272727272727272663e+01,-8.660254037844425934e-01
4.363636363636363313e+01,-1.959434878635765131e-15
4.454545454545453964e+01,8.660254037844334896e-01
4.545454545454545325e+01,8.660254037844408170e-01
4.636363636363635976e+01,5.634613237351001603e-15
4.727272727272726627e+01,-8.660254037844352659e-01
4.818181818181817988e+01,-8.660254037844427044e-01
4.909090909090909349e+01,-2.204364238465235822e-15
4.999999999999999289e+01,8.660254037844333785e-01
5.090909090909090651e+01,8.660254037844409281e-01
5.181818181818182012e+01,5.879542597180471900e-15
5.272727272727272663e+01,-8.660254037844350439e-01
5.363636363636363313e+01,-8.660254037844428154e-01
5.454545454545453964e+01,-9.554720955895707977e-15
5.545454545454545325e+01,8.660254037844332675e-01
5.636363636363635976e+01,8.660254037844411501e-01
5.727272727272726627e+01,1.322989931461094405e-14
5.818181818181817988e+01,-8.660254037844349329e-01
5.909090909090909349e+01,-8.660254037844393737e-01
5.999999999999999289e+01,-9.799650315725178274e-15
6.090909090909090651e+01,8.660254037844367092e-01
6.181818181818182012e+01,8.660254037844377084e-01
6.272727272727272663e+01,6.369401316839413281e-15
6.363636363636362603e+01,-8.660254037844312691e-01
6.454545454545453254e+01,-8.660254037844430375e-01
6.545454545454545325e+01,-2.939152317953647500e-15
6.636363636363635976e+01,8.660254037844330455e-01
6.727272727272726627e+01,8.660254037844413721e-01
6.818181818181818699e+01,-4.910966809321179854e-16
6.909090909090907928e+01,-8.660254037844347108e-01
7.000000000000000000e+01,-8.660254037844467012e-01
7.090909090909090651e+01,-1.028950903538412044e-14
7.181818181818181301e+01,8.660254037844364872e-01
7.272727272727273373e+01,8.660254037844379305e-01
7.363636363636362603e+01,2.107011475170035680e-14
7.454545454545453254e+01,-8.660254037844310471e-01
7.545454545454545325e+01,-8.660254037844432595e-01
7.636363636363635976e+01,-3.429011037612588881e-15
7.727272727272726627e+01,8.660254037844327124e-01
7.818181818181818699e+01,8.660254037844415942e-01
7.909090909090907928e+01,1.420961675392882682e-14
8.000000000000000000e+01,-8.660254037844344888e-01
8.090909090909090651e+01,-8.660254037844469233e-01
8.181818181818181301e+01,-1.077936775504306104e-14
8.272727272727273373e+01,8.660254037844361541e-01
8.363636363636362603e+01,8.660254037844452579e-01
8.454545454545453254e+01,2.155997347135930055e-14
8.545454545454545325e+01,-8.660254037844308250e-01
8.636363636363635976e+01,-8.660254037844435926e-01
8.727272727272726627e+01,-3.918869757271530263e-15
8.818181818181818699e+01,8.660254037844395958e-01
8.909090909090907928e+01,8.660254037844489217e-01
8.999999999999998579e+01,1.469947547358776899e-14
9.090909090909090651e+01,-8.660254037844342667e-01
9.181818181818181301e+01,-8.660254037844401509e-01
9.272727272727271952e+01,-1.126922647470200321e-14
9.363636363636362603e+01,8.660254037844288266e-01
9.454545454545453254e+01,8.660254037844454800e-01
9.545454545454545325e+01,7.838977475816237426e-15
9.636363636363635976e+01,-8.660254037844306030e-01
9.727272727272726627e+01,-8.660254037844438146e-01
9.818181818181818699e+01,-4.408728476930471644e-15
9.909090909090907928e+01,8.660254037844322683e-01
9.999999999999998579e+01,8.660254037844491437e-01
1.009090909090909065e+02,1.518933419324670958e-14
1.018181818181818130e+02,-8.660254037844340447e-01
1.027272727272727195e+02,-8.660254037844403729e-01
1.036363636363636402e+02,-1.175908519436094380e-14
1.045454545454545325e+02,8.660254037844286046e-01
1.054545454545454533e+02,8.660254037844457020e-01
1.063636363636363598e+02,8.328836195475178018e-15
1.072727272727272663e+02,-8.660254037844302699e-01
