Frequency (MHz),Amplitude
0.000000000000000000e+00,8.660418525482184160e-01
1.000000000000000021e-02,8.659760525188265889e-01
2.000000000000000042e-02,-1.973842941305609913e-04
2.999999999999999889e-02,-8.661898395053985178e-01
4.000000000000000083e-02,-8.657785826081316749e-01
5.000000000000000278e-02,6.907767974425116971e-04
5.999999999999999778e-02,8.664855331162877317e-01
7.000000000000000666e-02,8.654327608193798094e-01
8.000000000000000167e-02,-1.480001830576070697e-03
8.999999999999999667e-02,-8.669283730029830881e-01
1.000000000000000056e-01,-8.649381798222053330e-01
1.100000000000000006e-01,2.564777630937424557e-03
1.199999999999999956e-01,8.675175191722831469e-01
1.300000000000000044e-01,8.642942595413906082e-01
1.400000000000000133e-01,-3.944715421218174603e-03
1.499999999999999944e-01,-8.682518527070017811e-01
1.600000000000000033e-01,-8.635002490863405988e-01
1.700000000000000122e-01,5.619318136009364244e-03
1.799999999999999933e-01,8.691299766926130488e-01
1.900000000000000022e-01,8.625552292545456412e-01
2.000000000000000111e-01,-7.587978813505835175e-03
2.099999999999999922e-01,-8.701502173832890152e-01
2.200000000000000011e-01,-8.614581156052453226e-01
2.300000000000000100e-01,9.849978661276265202e-03
2.399999999999999911e-01,8.713106256124905080e-01
2.500000000000000000e-01,8.602076620985430466e-01
2.600000000000000089e-01,-1.240448480669325941e-02
2.700000000000000178e-01,-8.726089784540445038e-01
2.800000000000000266e-01,-8.588024652943259118e-01
2.899999999999999800e-01,1.525054774472088016e-02
2.999999999999999889e-01,8.740427811405983016e-01
3.099999999999999978e-01,8.572409691043538782e-01
3.200000000000000067e-01,-1.838709849730232535e-02
3.300000000000000155e-01,-8.756092692471354466e-01
3.400000000000000244e-01,-8.555214700899401725e-01
3.499999999999999778e-01,2.181294550055375148e-02
3.599999999999999867e-01,8.773054111478952866e-01
3.699999999999999956e-01,8.536421232965666350e-01
3.800000000000000044e-01,-2.552677123738704770e-02
3.900000000000000133e-01,-8.791279107558583883e-01
4.000000000000000222e-01,-8.516009486158336861e-01
4.099999999999999756e-01,2.952712863536129106e-02
4.199999999999999845e-01,8.810732105542965487e-01
4.299999999999999933e-01,8.493958376639947350e-01
