Frequency (MHz),Amplitude
0.000000000000000000e+00,1.856102336053583280e-03
9.082652134423252130e-03,1.856176231846288658e-03
1.816530426884650426e-02,1.856397951201656802e-03
2.724795640326975119e-02,1.856767590061514893e-03
3.633060853769300852e-02,1.857285308457034840e-03
4.541326067211626238e-02,1.857951330661457897e-03
5.449591280653950237e-02,1.858765945454160561e-03
6.357856494096275624e-02,1.859729506411158086e-03
7.266121707538601704e-02,1.860842432304485317e-03
8.174386920980926396e-02,1.862105207551911605e-03
9.082652134423252477e-02,1.863518382739629692e-03
9.990917347865575782e-02,1.865082575228581892e-03
1.089918256130790047e-01,1.866798469827278453e-03
1.180744777475022655e-01,1.868666819540708030e-03
1.271571298819255125e-01,1.870688446408138228e-03
1.362397820163487594e-01,1.872864242399177679e-03
1.453224341507720341e-01,1.875195170411280213e-03
1.544050862851952810e-01,1.877682265340501399e-03
1.634877384196185279e-01,1.880326635244769420e-03
1.725703905540417749e-01,1.883129462576906129e-03
1.816530426884650495e-01,1.886092005541233942e-03
1.907356948228882687e-01,1.889215599506603293e-03
1.998183469573115156e-01,1.892501658543719115e-03
2.089009990917347903e-01,1.895951677046753400e-03
2.179836512261580095e-01,1.899567231471942100e-03
2.270663033605812842e-01,1.903349982165543049e-03
2.361489554950045311e-01,1.907301675323283107e-03
2.452316076294278058e-01,1.911424145040955700e-03
2.543142597638510249e-01,1.915719315519111244e-03
2.633969118982742441e-01,1.920189203359872008e-03
2.724795640326975188e-01,1.924835920019323703e-03
2.815622161671207935e-01,1.929661674376928048e-03
2.906448683015440682e-01,1.934668775434674436e-03
2.997275204359672873e-01,1.939859635251384423e-03
3.088101725703905620e-01,1.945236771909238062e-03
3.178928247048138367e-01,1.950802812719294168e-03
3.269754768392370559e-01,1.956560497588815620e-03
3.360581289736602750e-01,1.962512682550042117e-03
3.451407811080835497e-01,1.968662343502187561e-03
3.542234332425068244e-01,1.975012580119267242e-03
3.633060853769300991e-01,1.981566620010316668e-03
3.723887375113533182e-01,1.988327823032062878e-03
3.814713896457765374e-01,1.995299685917418641e-03
3.905540417801998121e-01,2.002485847065364928e-03
3.996366939146230313e-01,2.009890091647708807e-03
4.087193460490463059e-01,2.017516356943516859e-03
4.178019981834695806e-01,2.025368737983540210e-03
4.268846503178928553e-01,2.033451493488077147e-03
4.359673024523160190e-01,2.041769052121766240e-03
4.450499545867392936e-01,2.050326019080396436e-03
4.541326067211625683e-01,2.059127183051288543e-03
4.632152588555858430e-01,2.068177523519510765e-03
4.722979109900090622e-01,2.077482218510331644e-03
4.813805631244323369e-01,2.087046652721469275e-03
4.904632152588556115e-01,2.096876426130748431e-03
4.995458673932788307e-01,2.106977363061887740e-03
5.086285195277020499e-01,2.117355521762672582e-03
5.177111716621253246e-01,2.128017204533615581e-03
5.267938237965484882e-01,2.138968968400274673e-03
5.358764759309717629e-01,2.150217636423046048e-03
5.449591280653950376e-01,2.161770309643552476e-03
5.540417801998183123e-01,2.173634379714605488e-03
5.631244323342415870e-01,2.185817542285958381e-03
5.722070844686648616e-01,2.198327811154771744e-03
5.812897366030881363e-01,2.211173533266958240e-03
5.903723887375113000e-01,2.224363404613695448e-03
5.994550408719345747e-01,2.237906487085295718e-03
6.085376930063578493e-01,2.251812226349925953e-03
6.176203451407811240e-01,2.266090470820878930e-03
6.267029972752043987e-01,2.280751491825272915e-03
6.357856494096276734e-01,2.295806004987543426e-03
6.448683015440508370e-01,2.311265193017985557e-03
6.539509536784741117e-01,2.327140729913358165e-03
6.630336058128972754e-01,2.343444806733153453e-03
6.721162579473205501e-01,2.360190159040289910e-03
6.811989100817438247e-01,2.377390096164333499e-03
6.902815622161670994e-01,2.395058532394078298e-03
6.993642143505903741e-01,2.413210020263202842e-03
7.084468664850136488e-01,2.431859786098382759e-03
7.175295186194369235e-01,2.451023768007105051e-03
7.266121707538601981e-01,2.470718656494124039e-03
7.356948228882833618e-01,2.490961937939440828e-03
7.447774750227066365e-01,2.511771941140327445e-03
7.538601271571299112e-01,2.533167887204053944e-03
7.629427792915530748e-01,2.555169943084591687e-03
7.720254314259763495e-01,2.577799279016468326e-03
7.811080835603996242e-01,2.601078130234572416e-03
7.901907356948228989e-01,2.625029863372840312e-03
7.992733878292460625e-01,2.649679047863577521e-03
8.083560399636693372e-01,2.675051532922789136e-03
8.174386920980926119e-01,2.701174530486505614e-03
8.265213442325158866e-01,2.728076704769564608e-03
8.356039963669391613e-01,2.755788268989377114e-03
8.446866485013624359e-01,2.784341089975624246e-03
8.537693006357857106e-01,2.813768801366140892e-03
8.628519527702089853e-01,2.844106926344516176e-03
8.719346049046320379e-01,2.875393010693444353e-03
8.810172570390553126e-01,2.907666767362466261e-03
8.900999091734785873e-01,2.940970233597163530e-03
8.991825613079018620e-01,2.975347942011032695e-03
9.082652134423251367e-01,3.010847107007925180e-03
9.173478655767484113e-01,3.047517828209960269e-03
9.264305177111716860e-01,3.085413312719261034e-03
9.355131698455949607e-01,3.124590118294155727e-03
9.445958219800181244e-01,3.165108419741143129e-03
9.536784741144413990e-01,3.207032301194945138e-03
9.627611262488646737e-01,3.250430077203846080e-03
9.718437783832879484e-01,3.295374646059498654e-03
9.809264305177112231e-01,3.341943879163934358e-03
9.900090826521343867e-01,3.390221050814514175e-03
9.990917347865576614e-01,3.440295313355230984e-03
1.008174386920980936e+00,3.492262223455258521e-03
1.017257039055404100e+00,3.546224325948593367e-03
1.026339691189827485e+00,3.602291802810757629e-03
1.035422343324250649e+00,3.660583195820449071e-03
1.044504995458673813e+00,3.721226212962092626e-03
1.053587647593096976e+00,3.784358629971354415e-03
1.062670299727520362e+00,3.850129300551351479e-03
1.071752951861943526e+00,3.918699290652807692e-03
1.080835603996366912e+00,3.990243155195367930e-03
1.089918256130790075e+00,4.064950378354252776e-03
1.099000908265213461e+00,4.143027002419100158e-03
1.108083560399636625e+00,4.224697474831849535e-03
1.117166212534060010e+00,4.310206748039453750e-03
1.126248864668483174e+00,4.399822673666590675e-03
1.135331516802906560e+00,4.493838740165829668e-03
1.144414168937329723e+00,4.592577212915460033e-03
1.153496821071753109e+00,4.696392747475841394e-03
1.162579473206176273e+00,4.805676561343901095e-03
1.171662125340599436e+00,4.920861267577770169e-03
1.180744777475022600e+00,5.042426496134795599e-03
1.189827429609445764e+00,5.170905456843539506e-03
1.198910081743869149e+00,5.306892633372765379e-03
1.207992733878292313e+00,5.451052842220780598e-03
1.217075386012715699e+00,5.604131947955079060e-03
1.226158038147138862e+00,5.766969599046279857e-03
1.235240690281562248e+00,5.940514443231752553e-03
1.244323342415985412e+00,6.125842404535964889e-03
1.253405994550408797e+00,6.324178765578991439e-03
1.262488646684831961e+00,6.536925012785188560e-03
1.271571298819255347e+00,6.765691687591075983e-03
1.280653950953678510e+00,7.012338872157269920e-03
1.289736603088101674e+00,7.279026462764337339e-03
1.298819255222525060e+00,7.568277107582747389e-03
1.307901907356948223e+00,7.883055693815832835e-03
1.316984559491371609e+00,8.226870693703144249e-03
1.326067211625794551e+00,8.603904719593980649e-03
1.335149863760217936e+00,9.019184604743173475e-03
1.344232515894641100e+00,9.478805712848044351e-03
1.353315168029064486e+00,9.990231780350057600e-03
1.362397820163487649e+00,1.056270172955003223e-02
1.371480472297911035e+00,1.120779079012093789e-02
1.380563124432334199e+00,1.194019882323439467e-02
1.389645776566757585e+00,1.277888094430638943e-02
